Printer,Toner,Status,Error
mfc-bc110,46,idle(3),No Error
mfc-bc147,80,idle(3),Paper Low
mfc-casualreading,38,idle(3),No Error
mfc-crossroads,94,idle(3),Paper Low
mfc-ellingson,78,idle(3),No Error
mfc-fireside,63,other(1),Tray 1 Empty
mfc-hh407,42,idle(3),No Error
mfc-hillkitt,6,unknown(2),Tray 2 Empty
mfc-hoyme,35,idle(3),Paper Low
mfc-kierk,8,idle(3),No Error
mfc-kildahl,100,idle(3),Paper Low
mfc-larson,1,unknown(2),Tray 2 Empty
mfc-mellby,2,idle(3),No Error
mfc-mohn,92,idle(3),Paper Low
mfc-om245,45,idle(3),No Error
mfc-pastor,78,idle(3),No Error
mfc-rand,74,other(1),Tray 1 Empty
mfc-rml-1st,25,unknown(2),Tray 2 Empty
mfc-rml115,76,idle(3),No Error
mfc-rml330,55,idle(3),No Error
mfc-rml386,94,idle(3),Paper Low
mfc-rml433,13,unknown(2),Tray 2 Empty
mfc-rml560,4,idle(3),No Error
mfc-rmlref,37,idle(3),No Error
mfc-rns-2nd,51,idle(3),Paper Low
mfc-rns258,13,other(1),Tray 1 Empty
mfc-rns358,46,idle(3),No Error
mfc-sac,38,idle(3),No Error
mfc-scilib,5,idle(3),No Error
mfc-thorson,67,unknown(2),Tray 2 Empty
mfc-toh101,92,idle(3),No Error
mfc-toh3,67,idle(3),No Error
mfc-toh3-east,1,idle(3),No Error
mfc-toh3-west,16,idle(3),No Error
mfc-ytt118,47,other(1),Tray 1 Empty
